本地频道,#genre#
 CCTV-10,http://39.134.66.46/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226128/index.m3u8
 CCTV-11,http://39.134.66.46/PLTV/88888888/224/3221225517/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226123/index.m3u8
 CCTV-12,http://39.134.66.46/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226130/index.m3u8
 CCTV-13,http://39.134.66.46/PLTV/88888888/224/3221225812/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226077/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226125/index.m3u8
 CCTV-14,http://39.134.66.4/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226132/index.m3u8
 CCTV-15,http://39.134.66.46/PLTV/88888888/224/3221225513/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226127/index.m3u8
 CCTV-16,http://39.134.66.46/PLTV/88888888/224/3221225893/index.m3u8
 CCTV-17,http://39.134.66.4/PLTV/88888888/224/3221225708/index.m3u8
 CGTN英语标清,http://39.134.66.4/PLTV/88888888/224/3221225510/index.m3u8
 CGTN阿拉伯标清,http://39.134.66.4/PLTV/88888888/224/3221226081/index.m3u8
 CGTN法语标清,http://39.134.66.4/PLTV/88888888/224/3221226083/index.m3u8
 CGTN西班牙语标清,http://39.134.66.4/PLTV/88888888/224/3221226094/index.m3u8
 CGTN俄语标清,http://39.134.66.4/PLTV/88888888/224/3221226096/index.m3u8
 CGTN档案标清,http://39.134.66.46/PLTV/88888888/224/3221225509/index.m3u8
 CETV1标清,http://39.134.66.4/PLTV/88888888/224/3221225563/index.m3u8
 CETV2标清,http://39.134.66.4/PLTV/88888888/224/3221226064/index.m3u8
 CETV4标清,http://39.134.66.4/PLTV/88888888/224/3221225750/index.m3u8
 鸡西综合标清,http://39.134.66.4/PLTV/88888888/224/3221226035/index.m3u8
 鸡西安全生活标清,http://39.134.66.4/PLTV/88888888/224/3221226050/index.m3u8
 齐齐哈尔综合,http://39.134.66.4/PLTV/88888888/224/3221226106/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226037/index.m3u8
